,#,,@Username,Country,Topics,Followers,Engagement Rate
0,701,,🍓••REAL FULLA OFFICIEL®••🍓@__fulla_officiel__,Morocco,,102.9K,0.01%
1,702,,Houda Rihani@houda_rihani,Morocco,,102.7K,1.60%
2,703,,NESSYOU@ne2s_u,Morocco,Music,102.5K,10.50%
3,704,,AHLAM HADDAD@ahlammhaddad,Morocco,"Fashion
Beauty
Lifestyle",102.5K,6.60%
4,705,,Issam Zayoun | عصام زيون Ⓜ️@issamzayounofficiel,Morocco,"Fitness
Gym
Coaching",102.2K,1.00%
5,706,,Halima Mourid@halimamourid,Morocco,,101.9K,1.40%
6,707,,Smartphone@pro_shop00,Morocco,"Fashion
Lifestyle",101.7K,0.10%
7,708,,Page musulmane à 100%@musulmans_couples,Morocco,"Modeling
Art
Music",101.7K,0.50%
8,709,,Oumaima💙  lll  💙آميمة@ouma_official1,Morocco,"Lifestyle
Fashion
Sports",101.5K,0%
9,710,,Dima Lbegiss 🇺🇸@lbegiss7,Morocco,"Lifestyle
Fashion
Modeling",101.3K,0.30%
10,711,,ultrasHbirkousafae@hbirkousafaa_officiel,Morocco,"Fashion
Modeling
Beauty",100.9K,2.20%
11,712,,• F T   C H A N • 🍁 • 피트 찬 •@ft.chan,Morocco,"Fashion
Lifestyle",100.8K,2.40%
12,713,,Diamantine Officiel@diamantinemaroc,Morocco,"Lifestyle
Fashion",100.2K,0%
13,714,,SUMMAR HUNJAN@iservetheface,Morocco,"Hair & Beauty
Fashion
DIY & Crafts
Celebrities",100.2K,5.10%
14,715,,YAAKOUB KHATIM@yaakoubkhatim,Morocco,Moms,100.1K,16.20%
15,716,,CHAIMAE || 🎀شيماء@chaimaae_laa,Morocco,"Fashion
Lifestyle
Modeling",100.1K,1.30%
16,717,,محبي الرجاء العالمي@mo7ibi_raja_alami_page_oficiel,Morocco,"Coaching
Training
Fitness",99.8K,0.70%
17,718,,Souad ELMAAROUFI@souadilyas,Morocco,,99.8K,0.10%
18,719,,مطبخ فاطمة نور@fatimanorcuisine_,Morocco,,99.7K,0.10%
19,720,,⠀⠀⠀⠀  ⠀⠀ ⠀⠀⠀⠀⠀      🇲🇦@tanjawaa,Morocco,,99.6K,0.90%
20,721,,غزلان العبادي👑@ghizlane_abadi,Morocco,"Fashion
Photography
Modeling",99.3K,1.10%
21,722,,Sana Moghli@sanamoghli,Morocco,"Fashion
Modeling",98.6K,0.20%
22,723,,غادي تضحك بزز منك😂@maroc.comedy,Morocco,"Modeling
Singer
Music",98.4K,1.20%
23,724,,Safa Bennamate@safabennamate,Morocco,"Lifestyle
Sports
Fashion",98.3K,2.50%
24,725,,Amina Elaouni | Miss Morocco@aminaelaouniofficial,Morocco,"Fashion
Modeling",98.2K,0.30%
25,726,,Amine & Ghita ✈ Travel Couple@jerrypeps,Morocco,"Travel
Fashion
Lifestyle",98.2K,2.50%
