,#,,@Username,Country,Topics,Followers,Engagement Rate
0,901,,maroc_maroc212🇲🇦@maroc_maroc212,Morocco,"Travel
Photography",70.5K,0.70%
1,902,,hanane ouali alami@hijabhanona,Morocco,Fashion,70.4K,0%
2,903,,Caftan Chez Hind@caftanchezhind,Morocco,Fashion,70.3K,1.00%
3,904,,الـوداد الأمـة WYDAD@wydad_casablanca_officiel,Morocco,"Fashion
Gym
Modeling",70.1K,0.02%
4,905,,MUA Kamilia Eddaoudi💄👑@makeupbykamilia,Morocco,"Art
Beauty
Business",70.1K,0.20%
5,906,,🌟shaimae kt 🌟@shaimaa_saide,Morocco,"Fashion
Beauty
Lifestyle",70K,0.60%
6,907,,مونيا سملالي@mounia.semlali,Morocco,Actors,69.7K,1.70%
7,908,,💕Moda Burada Başlar💕@modatwist,Morocco,,69.5K,0%
8,909,,F A S H I O N ♡ Blogger@roudy.barbie,Morocco,"Fashion
Modeling
Lifestyle",69K,1.10%
9,910,,Mesgourmandises tasty🍽@hindberrada1,Morocco,Food,68.9K,0.10%
10,911,,Mohcine Harisse@mohcineaoki,Morocco,"Fashion
Lifestyle
Celebrities
Design",68.9K,4.90%
11,912,,F a s h i o n    L u x O n e@fashionluxone,Morocco,"Fashion
Lifestyle
Food & Drink
Hair & Beauty
Travel",68.9K,1.10%
12,913,,Youssef️️️️️️️️️ Ghanam🌀@ussefghanam,Morocco,"Travel
Photography",68.5K,0%
13,914,,Allure Studio@allurestudiobeaute,Morocco,"Beauty
Art",68.2K,0.20%
14,915,,HamzaElyemlahi | حمزة اليملاحي@hamzaelyemlahi,Morocco,"Modeling
Photography
Fashion
Technology
Celebrities",67.8K,0.90%
15,916,,KOUNOUZ@kounouz.officiel,Morocco,"Lifestyle
Fashion",67.7K,0.10%
16,917,,TEAM BENATIA@team_benatia,Morocco,"Events
Soccer",67.7K,2.10%
17,918,,BLVCKADDICTED@blvckaddicted,Morocco,"Fashion
Lifestyle
Celebrities
Design",67.5K,1.90%
18,919,,Nour Bela a@dat.nour.bela,Morocco,,67.4K,0.60%
19,920,,Abdessamad Vlogs@abdessamad_vlogs,Morocco,"Fashion
Modeling
Lifestyle",67.3K,1.10%
20,921,,zyad frindi@zyad_frindi,Morocco,,67.2K,0.10%
21,922,,Kawthar Benchaffi1@kawtar_benchaffi,Morocco,"Singer
Music",66.9K,1.10%
22,923,,@edd_issam,Morocco,"Fashion
Gym
Modeling
Game
Technology
Travel
Photography
Nature & Outdoors
Kids & Parenting
Humor
Food & Drink
Health & Fitness
Hair & Beauty
Gardening
Film, Music & Books
Education
DIY & Crafts
Design
Celebrities
Cars & Motorcycles
Art
Architecture
Animals & Pets
Cooking",66.9K,0%
23,924,,Mouns_f@mouns_f,Morocco,"Moms
Fashion
Travel",66.8K,1.30%
24,925,,Maroua ES-SAID 🌸@maroua.essaid,Morocco,"Fashion
Lifestyle
Modeling",66.7K,4.20%
25,926,,حنان || ⵃⴰⵏⴰⵏⴻ 💜@soussiyaaa,Morocco,,66.6K,2.60%
26,927,,Yassine Benmoussa@yasliv_official,Morocco,"Music
Singer
Songwriting",66.6K,0.20%
27,928,,sandyy@gigisandyyy,Morocco,"Fashion
Lifestyle
Beauty",66.6K,0.50%
28,929,,ibtissam_bakkali@ibtissam_bakkali,Morocco,"Fitness
Gym
Coaching",66.5K,2.20%
29,930,,FiihaKhiir فيها خير ✌@fiihakhiir,Morocco,,66.3K,0.30%
30,931,,Fatimazahra houssni.officialⓂ️@fatimazahrahoussni.official,Morocco,,66.3K,0%
31,932,,Blogger/Influencer@ayoub_elhouate,Morocco,"Technology
Photography
Celebrities",66.2K,0.02%
32,933,,⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀Mrs. Neylelujah 🎀@mrs.neylelujah,Morocco,"Architecture
Hair & Beauty
Fashion",66.2K,0.00%
33,934,,Narjisse Meziani 🎤🎵@narjisse_meziani,Morocco,"Fashion
Lifestyle
Modeling",66.2K,2.20%
34,935,,Fatima ezzahra@fit_kaissi25,Morocco,"Actors
Fitness
Coaching
Training",66K,0.80%
35,936,,Osman Gürkan@osmn.gurkan2,Morocco,"Fitness
Coaching
Training",66K,0.10%
36,937,,A M I R A  εïз R E G R A G U I@amira_regragui,Morocco,"Fashion
Art
Modeling",65.9K,2.40%
37,938,,Ziana Zahia@zianazahia,Morocco,"Beauty
Art
Fashion",65.9K,1.60%
38,939,,👑 Bushra 👑@el_bushra,Morocco,"Cooking
Design
DIY & Crafts
Film
Music & Books
Hair & Beauty
Health & Fitness
Food & Drink
Photography
Travel
Technology
Fashion",65.9K,0.70%
39,940,,Ayoub El Khaliqi@ayoubelkhaliqi,Morocco,Soccer,65.8K,4.30%
40,941,,|| muhamad Louay 🌸 محمد لؤي ||@cuteboy.luay,Morocco,"Modeling
Art
Actors",65.7K,1.70%
41,942,,🔘حالف حتى نديها رجاوية🔘🎂09/11🎂@j.a_w_a.d,Morocco,"Fashion
Modeling
Lifestyle
Celebrities
Hair & Beauty",65.6K,11.80%
42,943,,🇩🇮   🇳 🇦 🇹 🇦 🇱🇪 ✌@abdelaziz_el_moubarki,Morocco,"Photography
Travel",65.6K,3.30%
43,944,,Caftan-Haute Couture-Designer@hanane_bennani_styliste,Morocco,"Celebrities
Animals & Pets
Technology",65.4K,0.10%
44,945,,olivia🎨@olivia_pepette,Morocco,Celebrities,65.1K,0.01%
45,946,,Aya el azhari 🇲🇦🇪🇸@ayael_azhari,Morocco,Modeling,64.9K,2.00%
46,947,,Le Mobilier.ma@lemobilier.ma,Morocco,"Lifestyle
Fashion
Design",64.3K,0%
47,948,,Toufik Filali 🌹@toufik_filali,Morocco,"Fashion
Lifestyle
Modeling",64.2K,2.20%
48,949,,Ahmed El Gharbi@ahmed_el_gharbi,Morocco,,64.2K,0%
49,950,,Nasma Raji@nasma.raji,Morocco,"Beauty
Art
Fashion",63.8K,3.20%
50,951,,⠀⠀⠀⠀⠀⠀⠀⠀⠀   ⠀⠀         أنــس@anaslakroum,Morocco,Modeling,63.8K,0%
51,952,,MO TEMSAMANI 💽11/01 #POBRECITA@mo.temsamani_official,Morocco,"Singer
Music
Modeling
Celebrities
Film, Music & Books
Art",63.6K,0.01%
52,953,,[joker]🇯'🇴'🇰'🇪'🇸@joker.maroc,Morocco,,63.6K,0%
53,954,,Mohammed rifai@mohamederifai,Morocco,,63.5K,0.30%
54,955,,🔥Khalid Elbahri🔥@elbahri_khalid,Morocco,"Fashion
Streetwear
Lifestyle",63.5K,1.90%
55,956,,Yasmine Zemmama@yasminezemmama,Morocco,"Lifestyle
Fashion
Beauty",63.4K,2.00%
56,957,,Omar SALVADOR@salvador.offic,Morocco,"Modeling
Fashion
Actors",63.3K,2.40%
57,958,,🎀 סברינה 🎀@sabrinajebdi,Morocco,Fashion,63.3K,1.10%
58,959,,Imane El Bardai 💑@imaneelbardai,Morocco,"Lifestyle
Fashion",63.2K,0.90%
59,960,,Ahmed Mssassi Photography@cars488,Morocco,"Cars
Luxury",63.2K,4.90%
60,961,,رحلتُك الى اعماقِ نفسك@inner.world.guide,Morocco,,63.1K,0.50%
61,962,,Lina Zaoui@zaoui_lina,Morocco,"Lifestyle
Fashion",63K,0%
62,963,,Recette Chirurgicale@recette.chirurgicale,Morocco,"Food
Restaurants
Chef",63K,1.40%
63,964,,Personal Account 🇲🇦+🇺🇸 =❤@nacirasvlogs,Morocco,"Fitness
Modeling
Coaching",62.9K,2.40%
64,965,,سليمان وليد الروضان@sulaiman.plus,Morocco,"Travel
Photography",62.9K,2.20%
65,966,,Boutaina💌@biba_channel,Morocco,"Fashion
Lifestyle",62.5K,2.30%
66,967,,QUALIFIED Makeup artist Meryem@makeup_artist_mb,Morocco,"Art
Beauty
Business",62.5K,1.00%
67,968,,oualas officiel ولاص@oualass,Morocco,"Lifestyle
Fashion
Sports",62.5K,1.30%
68,969,,𝓥𝓪𝓵𝓮𝓻𝓲𝓸 𝓐𝓰𝓪𝓽𝓪@cornersof_theworld16,Morocco,"Fashion
Travel
Lifestyle",62.3K,3.10%
69,970,,50k 🎥🌟➰H.WãĐîįě_👑_Őffįcîęľ ➰🌟🎥@wadie_halami,Morocco,,62.3K,2.70%
70,971,,Sweet Honey 🍭@_ghitalahlou_,Morocco,"Music
Singer
Modeling",62.3K,9.40%
71,972,,Moroccan Players Football@moroccanplayersfootball,Morocco,Soccer,62.2K,0.50%
72,973,,💎 INSTA - BLOGGER 💎@hanane.bella.1,Morocco,"Events
Fashion
Lifestyle",62.2K,1.00%
73,974,,Bijouterie Vitchi | or 18kt |@bijouterie_vitchi,Morocco,,61.8K,0.20%
74,975,,Yassin Regad 🇲🇦🇫🇷@yassinregad,Morocco,"Modeling
Fashion",61.6K,12.10%
75,976,,Mehdi Moussaid@mehdi.moussaid,Morocco,"Training
Coaching
Fitness",61.4K,1.90%
76,977,,Ignis Natura®@ignisnatura,Morocco,,61.4K,0.70%
77,978,,BELDI Country Club - Marrakech@beldicountryclub,Morocco,"Fashion
Hotels
Travel",61.4K,0.90%
78,979,,Amine HiJazi || أمين حجازي🔝👑@amineworld1,Morocco,"Fashion
Modeling",61.2K,3.90%
79,980,,Arran's Lifestyle@arranslifestyle,Morocco,"Fitness
Bikini
Training",61.1K,2.20%
80,981,,Sara Benhabbari@sarabenhabbari,Morocco,"Fashion
Lifestyle
Travel",61.1K,1.10%
81,982,,Mariamoficiel ماريا@mariamoficiel,Morocco,,61K,1.10%
82,983,,SN♠️@simonasrollah,Morocco,"Lifestyle
Sports
Modeling",60.8K,2.10%
83,984,,Othman Chic Official@othmanchic,Morocco,"Design
Interior Design
Fashion",60.8K,0.80%
84,985,,Pastel-Living.com@pastel_living,Morocco,,60.7K,0.10%
85,986,,Mourad Zaoui@mouradzaoui,Morocco,"Pets
Actors
Modeling",60.6K,3.90%
86,987,,Fazee@fazee.m,Morocco,"Fitness
Soccer
Coaching",60.5K,0%
87,988,,أميمة الجفريوي@oumaimajafrioui,Morocco,"Lifestyle
Art
Beauty",60.4K,1.10%
88,989,,Yassine Morabite@yassine.morabite,Morocco,"Art
Modeling
Fashion",60K,4.30%
89,990,,Bruno Silva@wbruno15,Morocco,Soccer,59.8K,3.30%
90,991,,amira_israa_@amira_israa_,Morocco,"Music
Modeling",59.6K,0%
91,992,,Loyal Fan ✨••||🇸🇦∞🇲🇦||••✨@mejolamjarred1,Morocco,,59.5K,0.60%
92,993,,Ahmed Soultan@soultanahmed,Morocco,"Singer
Music
Entertainment",59.4K,2.10%
93,994,,F i N i N i@finini_amine,Morocco,"Fashion
Streetwear
Lifestyle
Celebrities",59.4K,3.20%
94,995,,👻: Bouroudaa@alaabourouda,Morocco,"Travel
Fashion
Adventure",59.3K,2.50%
95,996,,🅣🅗Ⓜ️🅞🅡🅞🅒🅒🅐🅝🅖🅐🅖🅢 ➖ORIGINAL® 🇲🇦@themoroccangags,Morocco,Events,59.2K,0.30%
96,997,,Say@saymorocco,Morocco,"Lifestyle
Fashion",59.2K,0%
97,998,,مغربية و افتخر@lalat_lbnat,Morocco,,59.2K,1.10%
98,999,,Souf@rssouf,Morocco,Music,59.1K,0%
99,1000,,Morocco Vacations by Haptag®@morocco.vacations,Morocco,"Travel
Photography",59K,0.80%
