,#,,@Username,Country,Topics,Followers,Engagement Rate
0,801,,ZEY ~ Designer ~ Food Lover 💕@zey_fashion,Morocco,"Fashion
Modeling
Lifestyle",85.4K,0.20%
1,802,,Maurits@maurits_88,Morocco,"Fashion
Travel
Lifestyle",85K,1.90%
2,803,,✒أنزوم✒@khadijaanazoum,Morocco,"Fashion
Modeling",84.9K,0.40%
3,804,,Sanae Beni Azza@bnsanae,Morocco,,84.6K,0.80%
4,805,,SARA COELHO ANSARI 🇲🇦🇵🇹@saracoelhoansari,Morocco,"Fashion
Lifestyle",84.5K,0.40%
5,806,,S O R A Y A صورية@themoroccansoraya,Morocco,"Fashion
Styling
Lifestyle
Hair & Beauty
Celebrities",84.5K,2.70%
6,807,,N°1 Du Fitness au Maroc@cityclub.officiel,Morocco,"Fitness
Coaching
Training",84.4K,0.10%
7,808,,عشاق الوداد ♡@wydad_lovers,Morocco,Art,84.3K,0.50%
8,809,,Lady Zee@lady_zee_life,Morocco,"Fashion
Modeling",84.3K,1.80%
9,810,,Ouassila Sabhi Officiel@ouassilasabhiofficiel,Morocco,"Fashion
Modeling",84.2K,1.50%
10,811,,Sohaib M’r 😎@sohaibmoulayrachid,Morocco,"Modeling
Fashion",84K,2.90%
11,812,,أم عبد الله 💐@koko__053,Morocco,"Fashion
Gym
Modeling",83.8K,0%
12,813,,Klass-A@klass_a,Morocco,"Singer
Music",83.7K,7.60%
13,814,,محمد يحي@idyahia,Morocco,,83.6K,5.20%
14,815,,ayoubkrab Ⓜ@ayoub_krabchou,Morocco,,83.3K,3.10%
15,816,,Yassine Aabidi l ياسين عابيدي@aabidiyassine,Morocco,"Fashion
Modeling
Lifestyle",82.9K,1.10%
16,817,,Riad El Omor /رياض العمر🎶@riadelomor,Morocco,,82.6K,0.70%
17,818,,blogueuse 👑💕@uqrame_,Morocco,"Lifestyle
Fashion
Beauty",82.6K,3.00%
18,819,,Abdellah Mountassir Skalli@mountassir1_official,Morocco,"Modeling
Fashion
Photography",82.5K,0.60%
19,820,,خير جليس@khairjaleesbook,Morocco,,82.5K,0.30%
20,821,,Amine Benjelloun أمين بنجلون@aminebenjelloun_official,Morocco,,82.4K,0.30%
21,822,,Lazrak@kenzalazrakmakeup,Morocco,"Actors
Lifestyle
Beauty
Fashion",82.4K,0.30%
22,823,,Z A C K E L M I R@zackelmir,Morocco,Modeling,82.3K,0%
23,824,,عَـــبــيـــرْ@abirbentaleb,Morocco,"Celebrities
DIY & Crafts
Art
Hair & Beauty",82.2K,0.04%
24,825,,Morocco Mall - Page Officielle@lemoroccomall,Morocco,"Lifestyle
Fashion",82K,0%
25,826,,🇲🇦تنسيق ورد🌹هدايا🎁شحن🚚المغرب@chokrane.ma,Morocco,Fashion,81.7K,0.40%
26,827,,Kaoutar Essemmami🍓@kaoutaressemmami,Morocco,"Fashion
Modeling",81.5K,3.00%
27,828,,Morocco Vacations@moroccovacations,Morocco,"Travel
Photography
Adventure",81.1K,0.70%
28,829,,MOHAMED EL MARNISSI@mohamed.elmarnissi,Morocco,"Cars
Audi",81K,15.30%
29,830,,Chakib Zemama@zemama35youtube___officiel,Morocco,,80.6K,2.50%
30,831,,احسان الغزواني@ihssane_elghazouani,Morocco,,80.6K,0.80%
31,832,,tᕼe_ⓡⓔⓐⓛⓐⓒⓗⓡⓐⓕⓕⓝⓐⓘⓡⓔ 🇲🇦🔑@the_realachraffnaire,Morocco,Actors,80.6K,0%
32,833,,Mohamed Saad@mohamedsaadstudio,Morocco,"Modeling
Fashion
Photography",80.6K,0.20%
33,834,,ARTIST OF MYSELF@soldadotetouani1,Morocco,"Fashion
Lifestyle
Travel
Celebrities
Design
Hair & Beauty",80.2K,0.20%
34,835,,Guzman@anas.agh.7,Morocco,,80.1K,9.10%
35,836,,choycho@beautiful____chayaa,Morocco,"Music
Modeling",80.1K,0.60%
36,837,,Fatima Ezzahra Chefi@inlinewithtima,Morocco,"Moms
Fashion",80K,2.50%
37,838,,Achraf Elharoui@achraf_elharoui,Morocco,Soccer,80K,6.20%
38,839,,Groupe H-Kayne@hkayne_officiel,Morocco,"Lifestyle
Music",79.7K,0.60%
39,840,,Sophia Haffari@sophiahaffari,Morocco,"Fashion
Lifestyle
Travel",79.6K,0%
40,841,,Insaf Bennis@insaf.bennis,Morocco,"Lifestyle
Fashion",79.4K,1.30%
41,842,,Nabil Akaazoun@nabilkilluur,Morocco,"Soccer
Sports
Celebrities",79.3K,3.90%
42,843,,Malika🇲🇦🇮🇹🇫🇷@imanyousra02,Morocco,,79.1K,0.30%
43,844,,@roukia_hamid,Morocco,"Lifestyle
Fashion
Beauty",79K,3.10%
44,845,,Melany Brown London@melanybrownmaroc,Morocco,Shopping,79K,0.30%
45,846,,رشا🥀@raacha__,Morocco,"Fashion
Lifestyle
Beauty",78.8K,8.00%
46,847,,Official Account فتح _ قلبك@fte7_9lbek,Morocco,,78.7K,0.10%
47,848,,Tarik Lakziz | طارق لقزيز@tariklakziz,Morocco,Modeling,78.7K,0%
48,849,,My Workout Routine (salma)@my_workout_routine,Morocco,"Fitness
Coaching
Training",78.5K,8.00%
49,850,,EFE NATURAL CARE@efenaturalcare,Morocco,"Fashion
Travel
Lifestyle",78.4K,0%
50,851,,🎩Lmentalist | المونطاليست 🎩@lmentalist,Morocco,"Fitness
Coaching
Training",78.3K,2.10%
51,852,,💣Elharbili💣أشرف الحربيلي💥💫@achrafelharbili1,Morocco,,78.1K,0.70%
52,853,,ALL36@all36_officiel,Morocco,"Music
Modeling",77.9K,3.30%
53,854,,Mizox Faidy🆗@mizox_faidy,Morocco,"Fitness
Coaching
Gym",77.9K,0.20%
54,855,,Yassine Abouyaala@yassine_events,Morocco,,77.7K,1.20%
55,856,,Omeima@benhita_omeima,Morocco,"Modeling
Gym
Fitness",77.6K,1.30%
56,857,,Breezy@hamza_breezy,Morocco,"Fitness
Gym
Coaching",77.3K,3.60%
57,858,,طرولات مغربية +17.5 جيل قيمش 😛@salama_trolls,Morocco,,76.9K,1.00%
