,#,,@Username,Country,Topics,Followers,Engagement Rate
0,401,,صوفيا بن يحيى قفطان SB Kaftan@sophia_benyahia_kaftan,Morocco,Fashion,211.3K,0.60%
1,402,,snapchat : swaggystylish@mole_hanout,Morocco,,210.1K,0.80%
2,403,,M A R O U A️️️️️️ l مروة@marobeauty,Morocco,"Fashion
Modeling
Art",210.1K,5.10%
3,404,,محبة للفنان سعد لمجرد 👑@saadlamjarred10,Morocco,,209.7K,0.90%
4,405,,Decomaison@deco.maison,Morocco,,208.3K,0.10%
5,406,,Hakim Ziyech@ziyech.22,Morocco,"Soccer
Sports",208K,2.40%
6,407,,oussama ettaki@oussamajassamas,Morocco,"Fashion
Modeling
Lifestyle",208K,0.70%
7,408,,CASA BEL VISA@casabvisa,Morocco,,207.6K,0.90%
8,409,,AYLA Looks@ayla_lk,Morocco,Travel,207.4K,0%
9,410,,ZIZO@zouhair_errajraji,Morocco,"Fashion
Lifestyle
Modeling",207.3K,4.00%
10,411,,Reggada And Laâlaoui@reggada_and_laalaoui,Morocco,"Lifestyle
Fashion",207K,0.70%
11,412,,ilham.el.arbaoui1 🔷@ily_team,Morocco,"Dance
Modeling
Music",206.8K,0.03%
12,413,,Sanaa Mohamed@sanaamohamedofficial,Morocco,,206.5K,0.60%
13,414,,Stylée By G.H@stylee.by.g.h,Morocco,"Fashion
Lifestyle
Styling",206K,0.20%
14,415,,Trend in Vogue@safia.tazi,Morocco,Fashion,205.8K,3.10%
15,416,,Boutikesh@boutikesh,Morocco,"Fashion
Lifestyle",205.6K,0%
16,417,,Zineb AGHRIB@zineb_aghrib,Morocco,"Lifestyle
Beauty
Fashion",204.3K,3.10%
17,418,,ℳ𝓀𝒶𝓏𝒷𝒶 𝒜𝓂𝒶𝓁@mkazbaamal,Morocco,"Modeling
Fashion
Music",203.3K,13.10%
18,419,,Mohammed Gasmi@mohammedgasmi1,Morocco,"Events
Fashion
Modeling",203.3K,13.00%
19,420,,Centre Meryam Beauty@meryam_baissa,Morocco,,202.4K,0.10%
20,421,,Sanaa Elhakim سناء الحكيم@sanaaelhakim,Morocco,Beauty,201.6K,0.60%
