,#,,@Username,Country,Topics,Followers,Engagement Rate
0,201,,Fadwa El Bani@fadwaelbani,Morocco,"Fashion
Travel",425.9K,0.30%
1,202,,Fatima Ezzahra Lahrech@fatimaezzahra_lahrech.officiel,Morocco,"Lifestyle
Fashion",425.4K,3.50%
2,203,,khalid lidlissi@khalidlidlissi,Morocco,"Art
Modeling
Music",425K,14.30%
3,204,,Meryam Bakouche مريم باكوش@meryambakoucheofficiel,Morocco,"Fashion
Modeling",420.5K,0%
4,205,,Mehdi Benkirane@mehdibenkirane,Morocco,,419.7K,0.70%
5,206,,Abdullah Alhoumse@abdullahalhoumse,Morocco,,417K,0%
6,207,,🇲🇦🌹Moroccan special page 🌹🇲🇦@beauties_of_morocco,Morocco,"Fashion
Modeling
Celebrities",412K,0%
7,208,,Beauty.g.morocco 🇩🇪🇪🇺 🇲🇦@beauty.g.morocco,Morocco,"Beauty
Art",411.4K,0%
8,209,,Imad Magician@imadmagician,Morocco,,411.1K,1.60%
9,210,,El Idrissi Otmane 🇲🇦@elidrissiotmaneoff,Morocco,"Lifestyle
Fitness
Modeling",408.6K,2.20%
10,211,,لآلة البرگاگة 😇@lbergaga.officiel,Morocco,"Fashion
Modeling",408.5K,0.40%
11,212,,Imad Benaomar@imadbenaomar,Morocco,"Music
Singer
Entertainment",408.4K,1.20%
12,213,,Mrs Sahel 💍💃@kawtarraghay,Morocco,,407K,8.70%
13,214,,مريم أصواب | Meryem asouab@fans.asouab.meryem,Morocco,,403.9K,0.70%
14,215,,Amine Filali@amine_filali1,Morocco,"Photography
Travel
Fashion",399.2K,1.90%
15,216,,Douja Belkhayat@doujablk,Morocco,"Fashion
Lifestyle",394.6K,2.80%
16,217,,girls fashion💎💎@girls_faashion_,Morocco,"Video Games
Fashion
Lifestyle
Modeling",394.2K,0.10%
17,218,,Simo Benbachir@simobenbachir,Morocco,Journalists,390.5K,0.10%
18,219,,😍 Amirà Alinàà 😍@amira.alinaa,Morocco,"Fashion
Modeling",385.6K,1.20%
19,220,,Zineb saberberrich@zinebsaberberrich,Morocco,"Music
Fashion",383.3K,1.00%
20,221,,Khalil Mouad@khalilmouad,Morocco,,379.7K,14.40%
21,222,,Farid Ghannam فريد غنام@ghannamfarid,Morocco,,379.7K,1.30%
22,223,,Fashion Style@land_of_beauty__,Morocco,"Fashion
Styling
Lifestyle",379K,0.20%
23,224,,mᎾuᏁᎥᎪ sᎬᏁhᎪjᎥ@mouniasenhaji,Morocco,"Lifestyle
Fashion
Beauty",378.9K,0.70%
24,225,,김미소@kimmiso1194,Morocco,"Modeling
Actors
Art",377.4K,3.70%
25,226,,Jawad EL Yamiq@jawadelyamiq,Morocco,Soccer,375.6K,4.70%
26,227,,الحساب الرسمي الوحيد للافنيده@lalla_fanida,Morocco,,372K,0.50%
27,228,,Mme Ikram 🇲🇦 إكرام 🇲🇦@tester_a_casablanca,Morocco,"Lifestyle
Sports
Food",372K,0%
28,229,,#الادمن: محمد الزعبوزي@maroc.tv_,Morocco,,370.5K,0.30%
29,230,,LC Waikiki المغرب‎‎@lcwaikiki.morocco,Morocco,"Lifestyle
Fashion
Sports",369.4K,0.20%
30,231,,Sahar Zerouali@saharyzerouali,Morocco,"Moms
Fashion
Lifestyle",369K,1.20%
31,232,,MADD 🇲🇦@itsmemadd,Morocco,"Music
Singer
Entertainment",365.6K,11.00%
32,233,,Anas Zniti@anas_zniti01,Morocco,,364.5K,7.70%
33,234,,سومةSouma@soumatv,Morocco,"Lifestyle
Fashion
Beauty",363.6K,1.70%
34,235,,AZIZ DADAS - عزيز داداس@azizdadasofficiel,Morocco,Beauty,363.4K,1.50%
35,236,,Meriem Ezzaidi@meriem.ezzaidi,Morocco,,363.3K,6.00%
36,237,,Simo Life 👍🇲🇦❤️@simolifedotcom,Morocco,"Business
Entrepreneur
Luxury",361.7K,9.40%
37,238,,zineb el morhir@zinebelmorhir,Morocco,,361.3K,0.60%
38,239,,🌟Otman akessou🌟@otman_akes,Morocco,"Fashion
Lifestyle
Styling
Photography",361.2K,1.10%
