,#,,@Username,Country,Topics,Followers,Engagement Rate
0,101,,Rajoua Es-Sahely-رجوى الساهلي@rajoua.officiel,Morocco,Beauty,872.7K,0.20%
1,102,,Asmaeamrani اسماء عمراني@asmaeamraniofficiel,Morocco,"Beauty
Art
Lifestyle",869.9K,0.60%
2,103,,️مجلة مشاهير المغرب  ️ ️️@et_maroc.officiel,Morocco,,861.9K,0.30%
3,104,,SalimCravata🇲🇦@cravataofficiel,Morocco,"Modeling
Music",851.5K,2.70%
4,105,,QUEEN A@ablasofy,Morocco,"Modeling
Fashion",846.1K,1.40%
5,106,,Anas El Baz | انس الباز‎@anaselbaz,Morocco,"Lifestyle
Photography
Sports",839.3K,1.30%
6,107,,♪♫ 𝒢𝓇𝒾𝓃𝒾 𝒜𝓀𝒶 #مشعكك ♫♪@grini_f,Morocco,,833.4K,0.40%
7,108,,Jıhad BenAlluch@jihadebenalluch,Morocco,"Fashion
Travel",825.6K,2.10%
8,109,,Ottman Azaitar@ottmanazaitar,Morocco,Sports,811.5K,2.50%
9,110,,Fadoua Taleb@fadoua.taleb,Morocco,"Lifestyle
Fashion",776.9K,1.60%
10,111,,🇲🇦رجاء بلمير👫عمر بلمير🇲🇦@belmirs_officiele,Morocco,,770.4K,0%
11,112,,Miryam Labiad@mimialeblanc,Morocco,"Fashion
Lifestyle
Modeling
Celebrities
Design",770.1K,0.60%
12,113,,Abdelilah Rachid@abdelilah.rachid,Morocco,Actors,765.8K,1.00%
13,114,,Hassan GonzaLez@gonzalez.officiel,Morocco,,761.1K,7.50%
14,115,,maroc@starsmaroc,Morocco,,742.3K,0.30%
15,116,,Welovebuzz@welovebuzz,Morocco,"Lifestyle
Fashion",741K,0.60%
16,117,,Jamal Alpha@jamal_alpha,Morocco,,738.6K,3.90%
17,118,,TiiwTiiw@tiiwtiiwofficiel,Morocco,"Lifestyle
Music",720.1K,2.40%
18,119,,Issam Attaf | عصام عطاف@issam_attaf_offciel,Morocco,Photography,714.9K,0%
19,120,,Safaa Channel@safaachannelofficiel,Morocco,"Art
Modeling
Beauty",709.5K,3.60%
20,121,,Abdellah Abujad@abdellahabujad,Morocco,Fitness,691.9K,1.90%
21,122,,❤رجاء بلمير /عمر بلمير ❤@belmirs2,Morocco,,685.3K,0.50%
22,123,,samia🌜@sauf.etc,Morocco,"Actors
Fashion
Lifestyle",684.7K,3.10%
23,124,,chahrazad akroud@chahrazadakroudofficial,Morocco,,683K,1.20%
24,125,,Bouchraddeauofficiel🇲🇦@bouchradeauofficiel,Morocco,,677K,0.40%
25,126,,Chorouk #MissArabWorld👑❤👄@choroukchelouatiofficiel,Morocco,"Fashion
Modeling",669.1K,0.90%
26,127,,MeryemZaïmiOfficiel@meryemzaimiofficiel,Morocco,"Lifestyle
Fashion
Modeling",644.7K,2.60%
