,#,,@Username,Country,Topics,Followers,Engagement Rate
0,301,,هدى🌸 Lakssili Houda@lakssilihouda,Morocco,"Lifestyle
Fashion
Sports",292.7K,1.30%
1,302,,MERIEM BELKHAYAT مريم بلخياط@meriembelkhayatofficial,Morocco,"Fashion
Modeling",289.6K,0%
2,303,,🎬 Zaki | زاكي 🎬@medzaaki,Morocco,"Modeling
Fashion
Music",289.5K,1.00%
3,304,,Yassine Hamdoun@itsmeyassiine,Morocco,"Fashion
Lifestyle
Modeling",289.2K,0.20%
4,305,,Moroccan Artists Official 🇲🇦@moroccanartists1,Morocco,"Modeling
Technology
Art",288.7K,0.30%
5,306,,Salon DoDo@salon_dodo,Morocco,,288.5K,1.30%
6,307,,SoTrendyLife@sotrendylife,Morocco,"Fashion
Lifestyle",288.3K,1.30%
7,308,,Shamy ...@ghazichaimaee,Morocco,"Pets
Dogs
Fashion",287.9K,4.20%
8,309,,Shobee@shobeeshayfeen,Morocco,"Music
Entertainment
Singer
Celebrities",287.2K,4.70%
9,310,,Mkazba Chaimae@mkazbachaimae,Morocco,"Fashion
Beauty",287.1K,11.30%
10,311,,Oussama Benjelloun Officiel@oussamabenjell,Morocco,Fashion,287K,0.60%
11,312,,🇲🇦🇲🇦 🇲🇦Morocco🇲🇦 🇲🇦🇲🇦@magnificence_of_morocco,Morocco,,285.3K,0.40%
12,313,,safae_beauty_official account@safae_beauty_officielle,Morocco,"Modeling
Fashion",284.8K,0.90%
13,314,,Qu Een 🇲🇦@dounia_moutawakil,Morocco,,284.5K,0%
14,315,,Chabi I شابي@chabiofficiel,Morocco,"Modeling
Art
Fashion",284K,1.40%
15,316,,caftan in morroco@caftan_maro,Morocco,,283.4K,0.20%
16,317,,souki shayk@soukishayk,Morocco,"Music
Singer
Actors",283.3K,2.30%
17,318,,Abir El Abed | عبير العابد@abirelabedofficial,Morocco,,282.2K,0.70%
18,319,,Rabiekatiofficiel@rabiekati,Morocco,"Modeling
Actors
Fashion",280.2K,1.50%
19,320,,fatima zahrae ait larbi@zou_ghaa,Morocco,,280K,0.60%
20,321,,دينا أقصبي | DINAAKESBI@dinaakesbi_fans_officiel,Morocco,"Beauty
Lifestyle
Art",278.7K,0%
21,322,,Hajar El Jastimy@hajarjas,Morocco,,278K,0.40%
22,323,,Rachid El Idrissi@rachidelidrissiofficiel,Morocco,,277.6K,1.10%
23,324,,elbargaga@elbargaga,Morocco,,277K,0.40%
24,325,,S o u K a ï n a  |  سكينة📸@soukei.na,Morocco,"Fashion
Fashion Design
Modeling",275.6K,0.20%
25,326,,🇲🇦   🇲🇦@l7adga_official,Morocco,,275.1K,0.40%
26,327,,Pr Tawfik Sefrioui@prtawfiksefrioui,Morocco,Fashion,274.2K,0.10%
27,328,,Simply Morocco@simplymorocco,Morocco,"Travel
Fashion
Lifestyle",271.6K,1.10%
28,329,,Safaa Boujnah( Sabahiyat2M)@safaa_boujnah,Morocco,,270.5K,1.40%
29,330,,السوسية@maaroufi_official1,Morocco,,270.2K,2.80%
30,331,,H A I F A | هيفاء@hayfa.hm,Morocco,"Fashion
Lifestyle
Beauty",269.8K,0.80%
31,332,,said et wadie@said_et_wadie,Morocco,,269.3K,1.70%
32,333,,Yussef Aoutoul@yussefaoutoul,Morocco,"Singer
Music
Songwriting",267.7K,1.80%
33,334,,𝒜𝒽𝓁𝒶𝓂 حسن ⵣ🇲🇦@ahlam.zain1,Morocco,"Fashion
Modeling",266.8K,3.00%
34,335,,Xena Aouita@xenaaouita,Morocco,"Music
Singer
Entertainment",264.8K,5.70%
35,336,,Lamrani Hot Couture@lamrani_hot_couture,Morocco,"Fashion
Lifestyle",263.1K,0.50%
36,337,,🇲🇦إيمان حمداوي🇲🇦@imane_hamdaoui,Morocco,"Celebrities
Technology
Fashion
Health & Fitness",261.5K,1.10%
37,338,,🦄Benedetta Benvenuti🦄@benebenve,Morocco,"Pets
Fashion",260.8K,0%
38,339,,Havingsome_fun@mimouh_khaoula,Morocco,"Fashion
Lifestyle",260.6K,0.90%
39,340,,محل قفطاني@qaftany,Morocco,,260K,0%
