,#,,@Username,Country,Topics,Followers,Engagement Rate
0,501,,Abdeslam Bouhcini@abdeslam_bouhcini,Morocco,"Actors
Lifestyle
Fashion",161.7K,2.20%
1,502,,Zina Saaid@zinasaaid,Morocco,Lifestyle,161.5K,0%
2,503,,Marouane Assil ( مروان أصيل )@marouaneassil,Morocco,"Music
Singer",161.5K,1.60%
3,504,,Ⓗⓞⓤⓓⓐ ⒽⒶⓎⒶⓃⒾ ⒶⓂⒾⓃⒺ 🇲🇦@houdahayaniamineofficiel,Morocco,"Lifestyle
Fashion
Beauty",161.3K,0.60%
4,505,,Videdressingdescopines@videdressingdescopines,Morocco,Shopping,161K,0%
5,506,,Welcome To My World🌟@zineb__said,Morocco,"Lifestyle
Sports",160.3K,2.20%
6,507,,Ella Maghribi@ellamaghribi,Morocco,,160.2K,0.80%
7,508,,Fashion influencer@naj.universe,Morocco,"Fashion
Styling",159.3K,0.70%
8,509,,Djeparov 🎲🎲@djeporov,Morocco,"Fashion
Lifestyle
Travel
Game
Technology
Photography
Nature & Outdoors
Kids & Parenting
Humor
Food & Drink
Health & Fitness
Hair & Beauty
Gardening
Film, Music & Books
Education
DIY & Crafts
Design
Celebrities
Cars & Motorcycles
Art
Architecture
Animals & Pets
Cooking",159.2K,1.90%
9,510,,NORMAL IS BORING@jihanelahlouuu,Morocco,"Fashion
Moms
Lifestyle",158.8K,3.60%
10,511,,KHALIL ALAOUI@khalilb.alaoui,Morocco,"Fashion
Lifestyle
Styling
Celebrities
Technology",158.5K,1.80%
11,512,,@issamharrris,Morocco,"Music
Entertainment
Modeling",158.2K,7.50%
12,513,,Houda Majd   هدى مجد@houdamajd,Morocco,"Modeling
Fashion",158K,1.30%
13,514,,Hassan Elkourfti@hassanelkourfti,Morocco,"Modeling
Fashion
Photography",157.8K,0.50%
14,515,,أفكار بسيطة مع هناء@hanaanz,Morocco,"Moms
Fashion",157.3K,1.10%
15,516,,Yasser Boussil@yasser_boussil,Morocco,Actors,156.8K,1.20%
16,517,,Umeima Azzouzi🦂@ma.umei,Morocco,"Modeling
Fashion",156.8K,1.30%
17,518,,🇲🇦⚽️ Almarssadpro ⚽️🇲🇦@almarssadpro,Morocco,Soccer,156.7K,0.80%
18,519,,Alia Kasimi@cookingwithalia,Morocco,"Food
Cooking
Chef
Travel
Food & Drink
Photography",156.3K,0.50%
19,520,,Abdelillah Habbat Idrissi@habbatabdelillah,Morocco,"Fitness
Coaching
Modeling",155.8K,12.00%
20,521,,يسرا الجاتاري®@yousra__elgattari,Morocco,"Modeling
Fashion
Music",155.5K,1.40%
21,522,,🔥الواليدة🔥@issam_br1,Morocco,Modeling,155.4K,2.00%
22,523,,Aziz Kallah@aziz.kallah,Morocco,Music,155.2K,6.60%
23,524,,Basma Ghand   | بسمة غاند@basmaghand,Morocco,"Fashion
Lifestyle",154.7K,1.50%
24,525,,Kaoutar Benjelloun@kao_benjelloun,Morocco,"Lifestyle
Sports
Fashion",154.6K,0.70%
25,526,,FAISSAL & MALIKA 🇲🇦@stylish.couple,Morocco,"Fashion
Modeling
Lifestyle
Hair & Beauty
Celebrities
Design",153.7K,0.60%
26,527,,Amine&Oubeid LESINQUALIFIABLES@lesinqualifiables,Morocco,"Lifestyle
Sports",153.6K,1.40%
27,528,,🌴daily Inspo LOOKS : Blogger@sarah.beauty.channel,Morocco,"Fashion
Lifestyle
Styling
Hair & Beauty",153.5K,1.10%
28,529,,Dj Amine@dj_amine,Morocco,"Singer
Music
Songwriting",153.2K,0%
